,Compound,Media Outlet,Negative,Neutral,Number of Tweets Ago,Positive,Time,Tweet Text
0,-0.6249,@BBC,0.219,0.729,0,0.053,Sat Apr 21 23:29:53 +0000 2018,"@bbc new radio webpage is horrid on just about every level.
I DONT want to go back to  a programme I stopped listen… https://t.co/VzkBuskd4E"
1,0.0,@BBC,0.0,1.0,1,0.0,Sat Apr 21 23:29:40 +0000 2018,"RT @AWAKEALERT: Max Keiser quit @BBC because he got strict orders 
""NOT TO MENTION #ISRAEL IN ANY CONTEXT""
""This kind of censorship leads t…"
2,-0.6523,@BBC,0.186,0.814,2,0.0,Sat Apr 21 23:29:31 +0000 2018,"RT @OLOV1571: I thought kidnapping/euthanasia were ILLEGAL in the UK? How, then, are UK hospitals getting away w/holding children hostage &amp;…"
3,0.0,@BBC,0.0,1.0,3,0.0,Sat Apr 21 23:29:19 +0000 2018,@dpa @AFPress @reuters @bbc #Catalonia #Catalogne https://t.co/KIS1OkrfOo
4,-0.8221,@BBC,0.39,0.61,4,0.0,Sat Apr 21 23:29:16 +0000 2018,RT @JamesHeartfield: Look at these whining @BBC journos moaning that 'online activists' are pushing 'conspiracy theories' and - shock! horr…
5,0.0,@BBC,0.0,1.0,5,0.0,Sat Apr 21 23:29:13 +0000 2018,"RT @Sitambarsingh1: #SaturdayMotivation 
#कबीर 👉अवधु अविगत से चल आया, 
कोई मेरा भेद मर्म नहीं पाया।।टेक।।
ना मेरा जन्म न गर्भ बसेरा, बालक…"
6,-0.4824,@BBC,0.23,0.646,6,0.124,Sat Apr 21 23:28:46 +0000 2018,RT @SJRWorld: TWITTER CENSORED MY ACCOUNT BECAUSE THEY CLAIM OF HATE SPEECH ' THAT IS ME SUPPORTING PALESTINE AND STANDING FOR THE ARAB/MUS…
7,0.0,@BBC,0.0,1.0,7,0.0,Sat Apr 21 23:27:43 +0000 2018,RT @BBC: ❤️#TimeForLove https://t.co/Dk2F3dDLPl
8,0.0,@BBC,0.0,1.0,8,0.0,Sat Apr 21 23:27:33 +0000 2018,RT @BBC: ❤️#TimeForLove https://t.co/Dk2F3dDLPl
9,0.0,@BBC,0.0,1.0,9,0.0,Sat Apr 21 23:27:16 +0000 2018,@tjparfitt cc @DerSPIEGEL @derfreitag @faznet @zeitonline @bild @cnn @AFP @washingtonpost @Reuters @AP @BBCNews… https://t.co/Ml9JAxwy2N
